date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,-1.9,-3.1,-0.6,0,,,16.9,39,1020.8,
2024-01-02 00:00:00,0,-1.5,1.5,0,,,26,50,1018.6,
2024-01-03 00:00:00,2,0.8,3.1,0,,,25.2,42,1014.3,
2024-01-04 00:00:00,-2,-5.8,1.8,0,,,25.6,58,1022.3,
2024-01-05 00:00:00,-0.7,-1.9,0.6,0,,,24.5,45,1024,
2024-01-06 00:00:00,-0.4,-2.7,1.9,2.1,,,28.1,68,1014.2,
2024-01-07 00:00:00,-1.4,-3.9,1.1,0,,,14,46,1009.8,
2024-01-08 00:00:00,2.1,0.7,3.5,0,,,12.8,35,1026.2,
2024-01-09 00:00:00,3.5,0.6,6.4,24.8,,,34,71,1004.8,
2024-01-10 00:00:00,3.6,0.9,6.3,0,,,34.9,71,988.8,
2024-01-11 00:00:00,1.5,0.3,2.7,2.2,,,14.2,39,1008.1,
2024-01-12 00:00:00,3.1,0,6.1,9.7,,,33.8,87,1011.6,
2024-01-13 00:00:00,1.9,-3,6.7,3,,,33.2,78,990.2,
2024-01-14 00:00:00,-6.6,-10.9,-2.2,0,,,42.2,72,1008.5,
2024-01-15 00:00:00,-9.6,-12,-7.1,0,,,26.4,55,1020.9,
2024-01-16 00:00:00,-8.8,-11.1,-6.4,0,,,22,42,1014.8,
2024-01-17 00:00:00,-10.3,-13.7,-6.8,0,,,33.8,59,1013.2,
2024-01-18 00:00:00,-5,-7.2,-2.3,0,,,22.4,52,1016.4,
2024-01-19 00:00:00,-9.2,-13.7,-4.7,0,,,19.9,50,1017,
2024-01-20 00:00:00,-10.5,-14.2,-6.8,0,,,22.8,55,1022.7,
2024-01-21 00:00:00,-5.8,-10.4,-1.1,0,,,18.6,55,1032.1,
2024-01-22 00:00:00,-2.6,-5.1,-0.1,0,,,27,54,1028.6,
2024-01-23 00:00:00,0.9,-0.3,2.1,5.8,,,12,37,1030.1,
2024-01-24 00:00:00,1.6,0.9,2.2,6.2,,,21,46,1024.3,
2024-01-25 00:00:00,2.8,1.5,4.1,0,,,14.7,54,1021.3,
2024-01-26 00:00:00,4.2,1.8,6.6,17.7,,,22,67,1017.5,
2024-01-27 00:00:00,2.3,1.5,3.1,0,,,7.5,,1023,
2024-01-28 00:00:00,2.6,1.6,3.5,0,,,17.1,55,1014.7,
2024-01-29 00:00:00,1.9,-0.5,4.3,0,,,13.4,39,1017.7,
2024-01-30 00:00:00,1.6,0.6,2.6,0,,,15.8,42,1017.8,
2024-01-31 00:00:00,3.3,1.3,5.2,0,,,15.7,48,1016.8,
2024-02-01 00:00:00,3.8,2.8,4.7,0,,,18.8,46,1011.7,
2024-02-02 00:00:00,2,-1.3,5.3,0,,,17.5,46,1018.7,
2024-02-03 00:00:00,-1.2,-3.9,1.6,0,,,7,,1022.4,
2024-02-04 00:00:00,-0.5,-3.7,2.8,0,,,9.1,,1018.5,
2024-02-05 00:00:00,1.3,-0.5,3.1,0,,,12,39,1019.6,
2024-02-06 00:00:00,-0.1,-2.8,2.7,0,,,12,35,1025.2,
2024-02-07 00:00:00,1.8,-0.8,4.4,0,,,11.5,,1025.9,
2024-02-08 00:00:00,3.5,1.2,5.7,0,,,20.8,41,1020.2,
2024-02-09 00:00:00,7.3,4,10.5,0.2,,,14.1,42,1009.1,
2024-02-10 00:00:00,6.5,3.2,9.8,0,,,22.5,48,1009,
2024-02-11 00:00:00,2.7,1.7,3.6,0,,,20.5,46,1015.6,
2024-02-12 00:00:00,1.7,-0.8,4.1,0,,,12.3,,1012.7,
2024-02-13 00:00:00,-0.1,-5.5,5.4,0,,,18.3,65,1009.6,
2024-02-14 00:00:00,-3.3,-7.3,0.7,0,,,19.1,46,1022.7,
2024-02-15 00:00:00,-2,-5.8,1.8,2.5,,,17.3,71,1013.7,
2024-02-16 00:00:00,-1.8,-3.5,-0.1,0,,,31,54,1014.4,
